Population	Treat	Gen	prop_adults	juveniles
Z1	Zero	1	0.96	2435
Z2	Zero	1	1	2756
Z3	Zero	1	0.98	2082
Z4	Zero	1	0.9	1681
Z5	Zero	1	0.88	1842
Z6	Zero	1	0.94	1675
L1	Low	1	0.42	807
L2	Low	1	0.5	1188
L3	Low	1	0.48	1268
H1	High	1	0.3	300
H2	High	1	0.26	300
H3	High	1	0.34	581
RL1	RL	1	0.94	1508
RL2	RL	1	0.96	1274
RL3	RL	1	0.96	1088
RH1	RH	1	0.96	1028
RH2	RH	1	0.94	1108
RH3	RH	1	0.98	1114
Z1	Zero	2	0.98	1968
Z2	Zero	2	0.94	2342
Z3	Zero	2	0.94	1828
Z4	Zero	2	1	1862
Z5	Zero	2	0.96	1355
Z6	Zero	2	0.98	2536
L1	Low	2	0.7	380
L2	Low	2	0.62	1114
L3	Low	2	0.68	781
H1	High	2	0.28	487
H2	High	2	0.42	614
H3	High	2	0.4	667
RL1	RL	2	0.98	947
RL2	RL	2	0.9	1268
RL3	RL	2	0.96	1061
RH1	RH	2	0.88	914
RH2	RH	2	0.94	974
RH3	RH	2	0.94	747
Z1	Zero	3	0.98	1895
Z2	Zero	3	1	2189
Z3	Zero	3	0.96	1888
Z4	Zero	3	0.96	2182
Z5	Zero	3	0.96	2015
Z6	Zero	3	1	2335
L1	Low	3	0.74	1641
L2	Low	3	0.66	927
L3	Low	3	0.66	1201
H1	High	3	0.54	887
H2	High	3	0.68	947
H3	High	3	0.48	1061
RL1	RL	3	0.96	1548
RL2	RL	3	0.96	1421
RL3	RL	3	0.92	1301
RH1	RH	3	0.94	1615
RH2	RH	3	0.98	1515
RH3	RH	3	1	941
Z1	Zero	4	0.96	1742
Z2	Zero	4	0.94	2169
Z3	Zero	4	0.92	1768
Z4	Zero	4	0.98	2042
Z5	Zero	4	0.94	1722
Z6	Zero	4	0.94	1955
L1	Low	4	0.66	1715
L2	Low	4	0.64	934
L3	Low	4	0.72	1014
H1	High	4	0.58	801
H2	High	4	0.72	2109
H3	High	4	0.66	787
RL1	RL	4	0.94	1655
RL2	RL	4	0.9	1228
RL3	RL	4	0.98	1241
RH1	RH	4	1	988
RH2	RH	4	0.94	1855
RH3	RH	4	1	1028
Z1	Zero	5	0.94	2496
Z2	Zero	5	0.92	1661
Z3	Zero	5	0.92	2189
Z4	Zero	5	0.92	1635
Z5	Zero	5	0.96	2302
Z6	Zero	5	1	2022
L1	Low	5	0.86	1848
L2	Low	5	0.7	787
L3	Low	5	0.64	761
H1	High	5	0.7	1061
H2	High	5	0.62	1635
H3	High	5	0.64	801
RL1	RL	5	1	2215
RL2	RL	5	0.92	941
RL3	RL	5	0.98	1368
RH1	RH	5	1	1114
RH2	RH	5	0.94	1628
RH3	RH	5	0.94	867
Z1	Zero	6	0.96	2282
Z2	Zero	6	0.98	1701
Z3	Zero	6	1	2429
Z4	Zero	6	0.82	2149
Z5	Zero	6	0.96	1882
Z6	Zero	6	0.96	1855
L1	Low	6	0.62	2349
L2	Low	6	0.68	961
L3	Low	6	0.6	1101
H1	High	6	0.56	1962
H2	High	6	0.76	2209
H3	High	6	0.42	761
RL1	RL	6	0.94	2269
RL2	RL	6	0.94	1661
RL3	RL	6	0.94	1528
RH1	RH	6	0.94	1008
RH2	RH	6	0.98	1074
RH3	RH	6	0.92	794
Z1	Zero	7	0.96	1848
Z2	Zero	7	0.96	1588
Z3	Zero	7	0.94	2229
Z4	Zero	7	0.96	1401
Z5	Zero	7	0.88	2195
Z6	Zero	7	0.9	1855
L1	Low	7	0.88	2135
L2	Low	7	0.7	994
L3	Low	7	0.68	1241
H1	High	7	0.72	1481
H2	High	7	0.74	1355
H3	High	7	0.62	907
RL1	RL	7	0.94	1428
RL2	RL	7	0.92	761
RL3	RL	7	0.88	1555
RH1	RH	7	0.9	1301
RH2	RH	7	0.96	1548
RH3	RH	7	0.9	1355
Z1	Zero	8	0.94	1495
Z2	Zero	8	0.96	1415
Z3	Zero	8	0.94	2222
Z4	Zero	8	0.94	2576
Z5	Zero	8	0.92	1988
Z6	Zero	8	0.96	2269
L1	Low	8	0.76	2355
L2	Low	8	0.74	994
L3	Low	8	0.84	988
H1	High	8	0.8	1341
H2	High	8	0.88	2229
H3	High	8	0.62	1221
RL1	RL	8	0.94	3143
RL2	RL	8	0.92	1281
RL3	RL	8	0.88	1521
RH1	RH	8	0.92	1028
RH2	RH	8	0.94	2002
RH3	RH	8	0.92	1074
Z1	Zero	9	0.9	2582
Z2	Zero	9	0.98	1441
Z3	Zero	9	0.94	2302
Z4	Zero	9	0.98	1668
Z5	Zero	9	0.9	2576
Z6	Zero	9	0.94	1581
L1	Low	9	0.86	1541
L2	Low	9	0.82	1281
L3	Low	9	0.72	714
H1	High	9	0.62	894
H2	High	9	0.62	1368
H3	High	9	0.62	867
RL1	RL	9	0.94	3036
RL2	RL	9	0.98	1174
RL3	RL	9	0.9	1621
RH1	RH	9	0.96	1328
RH2	RH	9	0.88	1601
RH3	RH	9	0.96	847
Z1	Zero	10	0.98	1421
Z2	Zero	10	0.92	2142
Z3	Zero	10	0.92	1782
Z4	Zero	10	0.94	2355
Z5	Zero	10	0.92	1708
Z6	Zero	10	0.98	1862
L1	Low	10	0.74	1715
L2	Low	10	0.7	921
L3	Low	10	0.8	1108
H1	High	10	0.74	1708
H2	High	10	0.9	1935
H3	High	10	0.68	661
RL1	RL	10	0.92	3103
RL2	RL	10	0.92	961
RL3	RL	10	0.94	1581
RH1	RH	10	0.96	961
RH2	RH	10	0.98	1762
RH3	RH	10	0.92	794
