Population	Treat	Gen	dose	Rep	L1_count	alive	dead	p_adults	stage
A	Control	0	highdose	1	66	40	26	0.61	juv
A	Control	0	highdose	2	58	31	27	0.53	juv
A	Control	0	highdose	3	59	38	21	0.64	juv
A	Control	0	highdose	4	69	37	32	0.54	juv
Z1	Zero	5	highdose	1	56	29	27	0.52	juv
Z1	Zero	5	highdose	2	58	30	28	0.52	juv
Z1	Zero	5	highdose	3	54	30	24	0.56	juv
Z1	Zero	5	highdose	4	60	41	19	0.68	juv
Z2	Zero	5	highdose	1	52	36	16	0.69	juv
Z2	Zero	5	highdose	2	71	48	23	0.68	juv
Z2	Zero	5	highdose	3	60	45	15	0.75	juv
Z2	Zero	5	highdose	4	51	45	6	0.88	juv
Z3	Zero	5	highdose	1	54	46	8	0.85	juv
Z3	Zero	5	highdose	2	67	40	27	0.6	juv
Z3	Zero	5	highdose	3	60	37	23	0.62	juv
Z3	Zero	5	highdose	4	63	38	25	0.6	juv
Z4	Zero	5	highdose	1	57	31	26	0.54	juv
Z4	Zero	5	highdose	2	56	38	18	0.68	juv
Z4	Zero	5	highdose	3	56	37	19	0.66	juv
Z4	Zero	5	highdose	4	59	39	20	0.66	juv
Z5	Zero	5	highdose	1	57	41	16	0.72	juv
Z5	Zero	5	highdose	2	53	42	11	0.79	juv
Z5	Zero	5	highdose	3	68	46	22	0.68	juv
Z5	Zero	5	highdose	4	76	62	14	0.82	juv
Z6	Zero	5	highdose	1	71	44	27	0.62	juv
Z6	Zero	5	highdose	2	50	36	14	0.72	juv
Z6	Zero	5	highdose	3	59	37	22	0.63	juv
Z6	Zero	5	highdose	4	57	38	19	0.67	juv
L1	Low	5	highdose	1	57	42	15	0.74	juv
L1	Low	5	highdose	2	55	54	1	0.98	juv
L1	Low	5	highdose	3	65	52	13	0.8	juv
L1	Low	5	highdose	4	63	39	24	0.62	juv
L2	Low	5	highdose	1	51	36	15	0.71	juv
L2	Low	5	highdose	2	137	84	53	0.61	juv
L2	Low	5	highdose	3	68	38	30	0.56	juv
L2	Low	5	highdose	4	78	55	23	0.71	juv
L3	Low	5	highdose	1	60	42	18	0.7	juv
L3	Low	5	highdose	2	61	42	19	0.69	juv
L3	Low	5	highdose	3	69	55	14	0.8	juv
